FID	IID
Arm39	Arm39
Arm17	Arm17
TU20	TU20
AZ27	AZ27
AZ43	AZ43
AZ45	AZ45
Arm34	Arm34
Arm92	Arm92
Arm9	Arm9
GA43	GA43
AZ57	AZ57
AZ20	AZ20
TU61	TU61
Arm27	Arm27
Arm69	Arm69
AZ50	AZ50
Arm29	Arm29
AZ19	AZ19
Arm79	Arm79
Arm8	Arm8
Arm82	Arm82
AZ63	AZ63
Arm20	Arm20
Arm2	Arm2
Arm19	Arm19
GE38	GE38
TU24	TU24
Arm15	Arm15
AZ67	AZ67
Arm13	Arm13
AZ70	AZ70
TU23	TU23
Arm21	Arm21
Arm35	Arm35
Arm32	Arm32
Arm60	Arm60
TU18	TU18
Arm57	Arm57
TU21	TU21
TU14	TU14
AZ41	AZ41
AZ40	AZ40
TU46	TU46
AZ39	AZ39
Arm64	Arm64
Arm65	Arm65
TU12	TU12
AZ26	AZ26
TU11	TU11
Arm49	Arm49
AZ31	AZ31
Arm66	Arm66
AZ29	AZ29
AZ46	AZ46
Arm42	Arm42
TU8	TU8
Arm40	Arm40
TU22	TU22
TU3	TU3
Arm36	Arm36
Arm33	Arm33
Arm5	Arm5
AZ28	AZ28
