FID	IID
VA10	VA10
VA33	VA33
VA43	VA43
VA44	VA44
VA45	VA45
VA53	VA53
VA55	VA55
VA56	VA56
VA61	VA61
VA62	VA62
VA7	VA7
VA8	VA8
VA9	VA9
VA52	VA52
VA51	VA51
VA3	VA3
VA5	VA5
VA12	VA12
VA4	VA4
VA13	VA13
VA11	VA11
VA16	VA16
Arm89	Arm89
VA58	VA58
VA57	VA57
VA59	VA59
VA46	VA46
Arm50	Arm50
GE34	GE34
GE3	GE3
GE21	GE21
GE23	GE23
GE29	GE29
GE30	GE30
GE40	GE40
GE42	GE42
GA31	GA31
GE45	GE45
GE25	GE25
GE10	GE10
GA46	GA46
GE41	GE41
GE8	GE8
GE11	GE11
GE31	GE31
GE7	GE7
GE13	GE13
GE46	GE46
GE14	GE14
GE33	GE33
GE2	GE2
GE37	GE37
GE19	GE19
GA49	GA49
GA9	GA9
GA28	GA28
GA47	GA47
GE44	GE44
GE24	GE24
GE47	GE47
GE32	GE32
GE35	GE35
GE20	GE20
GA12	GA12
GA10	GA10
GE28	GE28
GE43	GE43
GE26	GE26
GE9	GE9
GE39	GE39
GA1	GA1
GE1	GE1
GE18	GE18
GE27	GE27
GE5	GE5
Arm2	Arm2
Arm79	Arm79
AZ29	AZ29
Arm29	Arm29
Arm42	Arm42
Arm15	Arm15
Arm77	Arm77
Arm69	Arm69
Arm20	Arm20
Arm33	Arm33
Arm64	Arm64
Arm8	Arm8
Arm13	Arm13
AZ41	AZ41
AZ31	AZ31
Arm24	Arm24
Arm19	Arm19
Arm49	Arm49
Arm9	Arm9
Arm3	Arm3
Arm55	Arm55
AZ28	AZ28
AZ50	AZ50
AZ70	AZ70
AZ26	AZ26
AZ40	AZ40
AZ20	AZ20
AZ27	AZ27
AZ19	AZ19
AZ39	AZ39
AZ56	AZ56
AZ44	AZ44
AZ63	AZ63
AZ32	AZ32
AZ36	AZ36
AZ67	AZ67
AZ57	AZ57
ARM90	ARM90
VA54	VA54
VA67	VA67
VA71	VA71
Arm59	Arm59
VA66	VA66
VA68	VA68
Arm12	Arm12
VA41	VA41
Arm10	Arm10
Arm7	Arm7
VA48	VA48
VA40	VA40
Arm61	Arm61
Arm43	Arm43
Arm30	Arm30
Arm39	Arm39
Arm1	Arm1
Arm4	Arm4
AZ48	AZ48
Arm5	Arm5
Arm57	Arm57
VA63	VA63
Arm48	Arm48
Arm70	Arm70
Arm85	Arm85
VA60	VA60
VA47	VA47
Arm28	Arm28
AZ34	AZ34
AZ49	AZ49
AZ69	AZ69
AZ23	AZ23
AZ60	AZ60
AZ24	AZ24
AZ47	AZ47
AZ64	AZ64
AZ54	AZ54
AZ37	AZ37
GA6	GA6
GE15	GE15
GA37	GA37
GE36	GE36
TU37	TU37
Arm76	Arm76
VA28	VA28
GA15	GA15
GA17	GA17
TUD-1	TUD-1
TUD-3	TUD-3
TUF-5	TUF-5
TUF-6	TUF-6
TUF-19	TUF-19
TUF-20	TUF-20
TUF-21	TUF-21
TUF-22	TUF-22
TUF-23	TUF-23
TUF-36	TUF-36
TUF-29	TUF-29
TUF-13	TUF-13
TUF-24	TUF-24
TUF-25	TUF-25
TUF-14	TUF-14
TUF-18	TUF-18
TUF-4	TUF-4
TUF-33	TUF-33
TUF-8	TUF-8
TUF-11	TUF-11
TUF-27	TUF-27
TUF-3	TUF-3
TUF-12	TUF-12
TUF-30	TUF-30
TUF-35	TUF-35
TUG-10	TUG-10
TUG-9	TUG-9
TUG-12	TUG-12
TUF-16	TUF-16
TUG-19	TUG-19
TUG-20	TUG-20
TUK-6	TUK-6
TUK-3	TUK-3
TUG-21	TUG-21
TUK-9	TUK-9
TUG-29	TUG-29
TUG-25	TUG-25
TUK-5	TUK-5
TUK-4	TUK-4
TUG-4	TUG-4
TUK-7	TUK-7
TUK-8	TUK-8
TUS-1	TUS-1
TUF-17	TUF-17
TUF-1	TUF-1
TUG-22	TUG-22
TUF-28	TUF-28
TU55	TU55
Arm21	Arm21
