FID	IID
Arm93	Arm93
Arm74	Arm74
Arm38	Arm38
Arm86	Arm86
Arm78	Arm78
Arm84	Arm84
Arm87	Arm87
Arm65	Arm65
Arm27	Arm27
Arm94	Arm94
Arm91	Arm91
Arm37	Arm37
Arm11	Arm11
Arm72	Arm72
Arm17	Arm17
Arm23	Arm23
Arm75	Arm75
Arm24	Arm24
Arm80	Arm80
Arm25	Arm25
Arm16	Arm16
Arm14	Arm14
Arm31	Arm31
AZ51	AZ51
AZ36	AZ36
AZ44	AZ44
TU29	TU29
AZ45	AZ45
AZ21	AZ21
GE22	GE22
GE4	GE4
GA42	GA42
TU11	TU11
TU18	TU18
TU21	TU21
TU46	TU46
TU39	TU39
TU2	TU2
TU61	TU61
TU24	TU24
TU82	TU82
TU62	TU62
TU91	TU91
TU78	TU78
TU10	TU10
TU71	TU71
TU43	TU43
TU45	TU45
TU94	TU94
TU67	TU67
TU8	TU8
TU49	TU49
TU47	TU47
TU13	TU13
TU27	TU27
TU75	TU75
TU5	TU5
TU60	TU60
TU70	TU70
TU15	TU15
TU28	TU28
TU92	TU92
TU12	TU12
TU32	TU32
TU16	TU16
TU3	TU3
TU52	TU52
TU63	TU63
TU59	TU59
TU77	TU77
TU6	TU6
TU66	TU66
TU72	TU72
TU80	TU80
TU33	TU33
TU22	TU22
TU36	TU36
TU84	TU84
TU48	TU48
TU4	TU4
TUK-11	TUK-11
TU57	TU57
TU7	TU7
TU30	TU30
TU93	TU93
TU23	TU23
TU87	TU87
TU81	TU81
TUF-15	TUF-15
TU1	TU1
TU17	TU17
TU88	TU88
TU56	TU56
TU53	TU53
TU54	TU54
TU20	TU20
TUG-27	TUG-27
TU85	TU85
TU50	TU50
GE3	GE3
GE30	GE30
GE42	GE42
GE21	GE21
GA31	GA31
GE40	GE40
GE45	GE45
GA46	GA46
GE10	GE10
GE25	GE25
GE11	GE11
GE8	GE8
GE29	GE29
GE23	GE23
GE41	GE41
GE46	GE46
GE33	GE33
GE37	GE37
GE2	GE2
GE19	GE19
GA49	GA49
GE13	GE13
GE7	GE7
GA47	GA47
GE31	GE31
GE14	GE14
GE20	GE20
GA9	GA9
GE32	GE32
GE24	GE24
GE44	GE44
GE28	GE28
GA10	GA10
GE9	GE9
GA28	GA28
GE47	GE47
GE35	GE35
GE26	GE26
GA12	GA12
GE1	GE1
GE43	GE43
GA1	GA1
GE27	GE27
GE39	GE39
GE18	GE18
GA2	GA2
GA4	GA4
GE5	GE5
