FID	IID
GE14	GE14
GA10	GA10
GE9	GE9
GE26	GE26
GE1	GE1
GE47	GE47
GA28	GA28
GA12	GA12
GE27	GE27
GE43	GE43
GE35	GE35
GA1	GA1
GE18	GE18
GE16	GE16
GE5	GE5
