FID	IID
ARM90	ARM90
Arm32	Arm32
Arm36	Arm36
Arm40	Arm40
Arm21	Arm21
Arm47	Arm47
Arm92	Arm92
Arm34	Arm34
Arm35	Arm35
Arm57	Arm57
Arm61	Arm61
Arm5	Arm5
Arm43	Arm43
Arm53	Arm53
Arm60	Arm60
Arm59	Arm59
Arm7	Arm7
VA67	VA67
Arm52	Arm52
Arm44	Arm44
VA71	VA71
Arm58	Arm58
Arm95	Arm95
Arm10	Arm10
VA54	VA54
AZ48	AZ48
Arm39	Arm39
Arm54	Arm54
Arm51	Arm51
Arm41	Arm41
Arm66	Arm66
Arm56	Arm56
Arm50	Arm50
Arm4	Arm4
Arm1	Arm1
Arm81	Arm81
Arm63	Arm63
VA40	VA40
Arm67	Arm67
VA66	VA66
Arm70	Arm70
Arm6	Arm6
Arm31	Arm31
Arm83	Arm83
Arm12	Arm12
Arm85	Arm85
Arm30	Arm30
Arm22	Arm22
Arm62	Arm62
VA68	VA68
Arm38	Arm38
Arm26	Arm26
Arm82	Arm82
Arm78	Arm78
Arm86	Arm86
Arm75	Arm75
Arm25	Arm25
Arm48	Arm48
Arm80	Arm80
Arm18	Arm18
Arm45	Arm45
VA41	VA41
Arm14	Arm14
Arm3	Arm3
Arm55	Arm55
Arm88	Arm88
Arm87	Arm87
Arm68	Arm68
Arm93	Arm93
VA48	VA48
Arm84	Arm84
Arm11	Arm11
VA63	VA63
Arm28	Arm28
Arm72	Arm72
Arm74	Arm74
Arm37	Arm37
Arm91	Arm91
VA47	VA47
VA60	VA60
Arm23	Arm23
VA28	VA28
Arm76	Arm76
AZ69	AZ69
AZ34	AZ34
AZ23	AZ23
AZ49	AZ49
AZ43	AZ43
AZ46	AZ46
AZ60	AZ60
TU29	TU29
GE34	GE34
AZ42	AZ42
AZ24	AZ24
AZ64	AZ64
AZ47	AZ47
AZ61	AZ61
AZ45	AZ45
AZ37	AZ37
AZ54	AZ54
AZ51	AZ51
AZ21	AZ21
GE38	GE38
GA43	GA43
GE43	GE43
GA6	GA6
GA12	GA12
GE5	GE5
GA37	GA37
GE47	GE47
GE39	GE39
GA9	GA9
GE18	GE18
GA28	GA28
GA42	GA42
GE22	GE22
GE15	GE15
GE16	GE16
GE31	GE31
GE7	GE7
GE35	GE35
GE23	GE23
GE8	GE8
GE44	GE44
GE42	GE42
GE40	GE40
GE45	GE45
GE21	GE21
GE10	GE10
GA31	GA31
GA46	GA46
GE3	GE3
GE26	GE26
TU72	TU72
TU20	TU20
TU14	TU14
TU2	TU2
TU47	TU47
TU75	TU75
TU32	TU32
TU30	TU30
TU33	TU33
TU11	TU11
TU21	TU21
TU46	TU46
TU18	TU18
TU28	TU28
TU56	TU56
TU81	TU81
TU43	TU43
TU80	TU80
TU71	TU71
TU49	TU49
TU5	TU5
TU94	TU94
TU6	TU6
TU70	TU70
TU37	TU37
TU22	TU22
TU24	TU24
TU61	TU61
TU3	TU3
TU39	TU39
TU60	TU60
TU13	TU13
TU27	TU27
TU93	TU93
TU67	TU67
TU66	TU66
TU77	TU77
TU82	TU82
TU36	TU36
TU7	TU7
TU91	TU91
TU12	TU12
TU23	TU23
TU69	TU69
TU62	TU62
TU52	TU52
TU57	TU57
TU17	TU17
TU59	TU59
TU63	TU63
TU54	TU54
TU78	TU78
TU1	TU1
TU4	TU4
TU8	TU8
TU15	TU15
TU16	TU16
TU88	TU88
TU53	TU53
TU92	TU92
TU10	TU10
TU45	TU45
TUF-15	TUF-15
TU87	TU87
TU48	TU48
TU84	TU84
TUK-11	TUK-11
TUG-27	TUG-27
TU55	TU55
Arm15	Arm15
Arm19	Arm19
Arm2	Arm2
Arm42	Arm42
Arm49	Arm49
Arm79	Arm79
AZ29	AZ29
AZ31	AZ31
AZ41	AZ41
Arm29	Arm29
Arm69	Arm69
Arm20	Arm20
Arm24	Arm24
Arm77	Arm77
Arm8	Arm8
Arm64	Arm64
Arm33	Arm33
Arm13	Arm13
Arm17	Arm17
Arm9	Arm9
Arm16	Arm16
Arm65	Arm65
Arm94	Arm94
Arm27	Arm27
AZ26	AZ26
AZ28	AZ28
AZ50	AZ50
AZ63	AZ63
AZ70	AZ70
AZ40	AZ40
AZ20	AZ20
AZ27	AZ27
AZ44	AZ44
AZ39	AZ39
AZ19	AZ19
AZ56	AZ56
AZ36	AZ36
AZ32	AZ32
GE4	GE4
AZ67	AZ67
AZ57	AZ57
GA15	GA15
GE32	GE32
GE1	GE1
GE27	GE27
GE19	GE19
GE20	GE20
GA47	GA47
GA49	GA49
GE28	GE28
GA17	GA17
GE37	GE37
GE2	GE2
GE24	GE24
GE30	GE30
GE33	GE33
TUD-1	TUD-1
TUD-3	TUD-3
TUF-6	TUF-6
TUF-19	TUF-19
TUF-21	TUF-21
TUF-22	TUF-22
TUF-23	TUF-23
TUF-20	TUF-20
TUF-5	TUF-5
TUF-36	TUF-36
TUF-29	TUF-29
TUF-14	TUF-14
TUF-25	TUF-25
