FID	IID
VA10	VA10
VA33	VA33
VA43	VA43
VA44	VA44
VA45	VA45
VA53	VA53
VA55	VA55
VA56	VA56
VA61	VA61
VA62	VA62
VA7	VA7
VA8	VA8
VA9	VA9
VA52	VA52
VA51	VA51
VA12	VA12
VA13	VA13
VA3	VA3
VA5	VA5
VA11	VA11
VA16	VA16
VA4	VA4
Arm89	Arm89
VA58	VA58
VA57	VA57
VA59	VA59
VA46	VA46
VA42	VA42
VA65	VA65
VA76	VA76
VA77	VA77
VA75	VA75
VA72	VA72
VA64	VA64
VA74	VA74
VA19	VA19
VA30	VA30
VA17	VA17
VA18	VA18
VA29	VA29
VA20	VA20
VA73	VA73
VA1	VA1
Arm73	Arm73
VA23	VA23
VA24	VA24
VA15	VA15
VA14	VA14
VA25	VA25
VA31	VA31
VA37	VA37
Arm71	Arm71
VA32	VA32
VA22	VA22
VA36	VA36
VA39	VA39
VA2	VA2
VA26	VA26
VA35	VA35
VA38	VA38
VA34	VA34
VA47	VA47
VA60	VA60
Arm76	Arm76
AZ4	AZ4
AZ12	AZ12
AZ15	AZ15
AZ17	AZ17
AZ16	AZ16
AZ18	AZ18
AZ13	AZ13
AZ7	AZ7
AZ9	AZ9
AZ11	AZ11
AZ1	AZ1
AZ2	AZ2
AZ6	AZ6
AZ3	AZ3
AZ8	AZ8
AZ59	AZ59
AZ58	AZ58
AZ62	AZ62
GA14	GA14
GA3	GA3
GA18	GA18
GA13	GA13
GA16	GA16
GA5	GA5
GA20	GA20
GA7	GA7
GA4	GA4
GA2	GA2
GA11	GA11
GA19	GA19
GE12	GE12
GA8	GA8
GA17	GA17
TU50	TU50
ARM90	ARM90
Arm1	Arm1
Arm4	Arm4
Arm50	Arm50
Arm12	Arm12
Arm7	Arm7
VA67	VA67
Arm10	Arm10
VA40	VA40
Arm39	Arm39
VA63	VA63
VA28	VA28
AZ49	AZ49
AZ69	AZ69
AZ34	AZ34
AZ23	AZ23
AZ60	AZ60
GE34	GE34
AZ24	AZ24
AZ54	AZ54
GA6	GA6
GE15	GE15
GA37	GA37
GE36	GE36
TU37	TU37
Arm93	Arm93
Arm74	Arm74
Arm86	Arm86
Arm78	Arm78
Arm84	Arm84
Arm49	Arm49
Arm19	Arm19
Arm65	Arm65
Arm38	Arm38
AZ31	AZ31
AZ41	AZ41
Arm27	Arm27
Arm87	Arm87
Arm91	Arm91
Arm37	Arm37
Arm94	Arm94
Arm11	Arm11
Arm72	Arm72
Arm24	Arm24
Arm17	Arm17
Arm25	Arm25
Arm75	Arm75
Arm23	Arm23
Arm16	Arm16
Arm80	Arm80
Arm14	Arm14
Arm18	Arm18
Arm31	Arm31
AZ63	AZ63
AZ51	AZ51
AZ44	AZ44
TU29	TU29
AZ36	AZ36
AZ45	AZ45
AZ21	AZ21
GE22	GE22
GE4	GE4
GA42	GA42
TU11	TU11
TU21	TU21
TU46	TU46
TU18	TU18
TU39	TU39
TU61	TU61
TU24	TU24
TU78	TU78
TU82	TU82
TU10	TU10
TU2	TU2
TU45	TU45
TU67	TU67
TU71	TU71
TU91	TU91
TU62	TU62
TU43	TU43
TU94	TU94
TU8	TU8
TU27	TU27
TU47	TU47
TU49	TU49
TU15	TU15
TU13	TU13
TU5	TU5
TU70	TU70
TU60	TU60
TU92	TU92
TU75	TU75
TU12	TU12
TU52	TU52
TU63	TU63
TU28	TU28
TU16	TU16
TU59	TU59
TU84	TU84
TU32	TU32
TU77	TU77
TU3	TU3
TU66	TU66
TU33	TU33
TU6	TU6
TU36	TU36
TU87	TU87
TU23	TU23
TU4	TU4
TU72	TU72
TUF-15	TUF-15
TU48	TU48
TU80	TU80
TUK-11	TUK-11
TU88	TU88
TU7	TU7
TU22	TU22
TU57	TU57
TU81	TU81
TU93	TU93
TU30	TU30
TU17	TU17
TU1	TU1
TU53	TU53
TU56	TU56
TUG-27	TUG-27
TU54	TU54
TU20	TU20
TU85	TU85
GE3	GE3
GE21	GE21
GE30	GE30
GE40	GE40
