FID	IID
VA61	VA61
VA53	VA53
VA72	VA72
VA65	VA65
VA25	VA25
VA76	VA76
VA75	VA75
VA77	VA77
VA58	VA58
VA42	VA42
VA52	VA52
VA51	VA51
Arm89	Arm89
VA20	VA20
VA57	VA57
VA17	VA17
VA59	VA59
VA19	VA19
VA18	VA18
VA30	VA30
VA46	VA46
VA29	VA29
VA64	VA64
VA74	VA74
VA73	VA73
VA39	VA39
VA1	VA1
Arm73	Arm73
VA22	VA22
VA24	VA24
VA37	VA37
VA32	VA32
VA15	VA15
VA14	VA14
VA26	VA26
VA36	VA36
VA23	VA23
Arm71	Arm71
VA31	VA31
VA2	VA2
VA38	VA38
VA35	VA35
VA34	VA34
AZ7	AZ7
AZ4	AZ4
AZ12	AZ12
AZ18	AZ18
AZ6	AZ6
AZ11	AZ11
AZ13	AZ13
AZ1	AZ1
AZ59	AZ59
AZ9	AZ9
AZ15	AZ15
AZ17	AZ17
AZ16	AZ16
AZ2	AZ2
AZ8	AZ8
AZ3	AZ3
GA18	GA18
GA20	GA20
GA3	GA3
GA14	GA14
GA5	GA5
GA16	GA16
GA13	GA13
GA4	GA4
GA7	GA7
GA2	GA2
GA19	GA19
GA8	GA8
